Sample	Cell	Live_Perc	GFP_Perc	GFP_p25	GFP_p50	GFP_p75	dpi	Virus	Variant	Experiment
K562_MoM_wt_A7_A07.fcs	73326	41	2.98	1259	2179	3699	16	MoMLV	wt	E1
K562_SN_CBX_C10_C10.fcs	65561	32.3	1.17	851	1664	2748	16	SNV	CBX	E1
K562_SN_W390A_B10_B10.fcs	69048	13	0.41	969	1588	3025	16	SNV	W390A	E1
K562_SN_wt_A10_A10.fcs	71104	5.17	0.38	713	1364	2937	16	SNV	wt	E1
K562_Crd2G_A10_A10.fcs	79396	98.6	11.5	385	514	813	3	CrERV	wt	E2
K562_Kod2G_A11_A11.fcs	76905	98.9	4.09	397	522	775	3	KoRV	wt	E2
K562_Mock_A9_A09.fcs	77900	99.1	0.04	466	601	717	3	Mock	wt	E2
K562_SNd2G_A12_A12.fcs	78605	98.6	36	487	949	2576	3	SNV	wt	E2
K562_Crd2G_A10_A10.fcs	13575	22	0.15	410	1145	1515	14	CrERV	wt	E2
K562_Kod2G_A11_A11.fcs	22892	26.5	1.02	401	535	809	14	KoRV	wt	E2
K562_Mock_A9_A09.fcs	23396	27.1	0.15	456	1099	1410	14	Mock	wt	E2
K562_SNd2G_A12_A12.fcs	19502	22.5	12.2	731	1263	2201	14	SNV	wt	E2
K562_Crd2G_B10_B10.fcs	58733	68.3	0.066	439	752	1037	16	CrERV	wt	E2
K562_Kod2G_B11_B11.fcs	54871	68.4	1.53	498	702	1070	16	KoRV	wt	E2
K562_Mock_B9_B09.fcs	48228	66.1	0.1	555	1005	1244	16	Mock	wt	E2
K562_SNd2G_B12_B12.fcs	56686	55.1	12.9	1229	2338	4241	16	SNV	wt	E2
K562_FL-W390A_200_C3_C03.fcs	48706	99.7	3.43	753	1578	3277	1	FeLV	W390A	E3
K562_FL-W390A_500_C4_C04.fcs	47965	99.7	1.73	852	1791	3618	1	FeLV	W390A	E3
K562_NC_200_C1_C01.fcs	19002	99.8	0.00526	371	371	371	1	Mock	NA	E3
K562_NC_500_C2_C02.fcs	44482	99.5	0.022	422	468	530	1	Mock	NA	E3
K562_FL-W390A_100_D7_D07.fcs	9822	99.3	6.4	1528	2562	4569	2	FeLV	W390A	E3
K562_FL-W390A_200_D8_D08.fcs	49628	99.1	6.66	1610	2931	5496	2	FeLV	W390A	E3
K562_FL-W390A_500_D9_D09.fcs	49960	98.8	3.11	1142	2086	3945	2	FeLV	W390A	E3
K562_FL-wt_100_D6_D06.fcs	45132	99.2	7.63	1677	2976	5255	2	FeLV	wt	E3
K562_MoM-W390A_100_D5_D05.fcs	49273	99.3	8.12	2065	3976	7299	2	MoMLV	W390A	E3
K562_MoM-wt_100_D4_D04.fcs	2589	99.5	4.06	2465	4691	7338	2	MoMLV	wt	E3
K562_NC_100_D1_D01.fcs	46260	99.5	0.00649	559	652	974	2	Mock	NA	E3
K562_NC_200_D2_D02.fcs	35974	99.4	0.00556	487	487	605	2	Mock	NA	E3
K562_NC_500_D3_D03.fcs	49924	99.2	0.016	401	532	560	2	Mock	NA	E3
K562_FL-W390A_100_E5_E05.fcs	49489	98	7.05	1777	3193	5643	3	FeLV	W390A	E3
K562_FL-W390A_200_E6_E06.fcs	49660	97.3	6.8	1656	2984	5703	3	FeLV	W390A	E3
K562_FL-W390A_500_E7_E07.fcs	49678	92.6	3.46	576	1117	2151	3	FeLV	W390A	E3
K562_FL-wt_100_E4_E04.fcs	49652	98.5	7.95	1832	3311	5599	3	FeLV	wt	E3
K562_MoM-W390A_100_E3_E03.fcs	49505	98.5	8.71	3160	5510	9180	3	MoMLV	W390A	E3
K562_MoM-wt_100_E2_E02.fcs	49543	98.7	4.01	3637	6307	10053	3	MoMLV	wt	E3
K562_NC_100_E1_E01.fcs	49694	98.9	0.018	405	505	546	3	Mock	NA	E3
K562_FL-W390A_100_F5_F05.fcs	50100	98.4	7.2	1321	2497	4581	4	FeLV	W390A	E3
K562_FL-W390A_200_F6_F06.fcs	49457	95.9	7.08	914	1660	3243	4	FeLV	W390A	E3
K562_FL-W390A_500_F7_F07.fcs	50378	96.7	3.04	723	1264	2168	4	FeLV	W390A	E3
K562_FL-wt_100_F4_F04.fcs	49485	97	7.96	1403	2649	4728	4	FeLV	wt	E3
K562_MoM-W390A_100_F3_F03.fcs	49435	96.9	8.74	2549	4606	7698	4	MoMLV	W390A	E3
K562_MoM-wt_100_F2_F02.fcs	49796	98	3.96	3031	5381	8451	4	MoMLV	wt	E3
K562_NC_100_F1_F01.fcs	10365	99.2	0.019	330	330	334	4	Mock	NA	E3
K562_FL-W390A_100_G5_G05.fcs	50632	99.1	6.89	1176	2235	4223	5	FeLV	W390A	E3
K562_FL-W390A_200_G6_G06.fcs	50587	99	7.04	1131	2270	4324	5	FeLV	W390A	E3
K562_FL-W390A_500_G7_G07.fcs	50497	99.3	3.42	1076	2092	3813	5	FeLV	W390A	E3
K562_FL-wt_100_G4_G04.fcs	50621	99	8.03	1185	2311	4268	5	FeLV	wt	E3
K562_MoM-W390A_100_G3_G03.fcs	50559	99.2	8.7	2003	3763	6740	5	MoMLV	W390A	E3
K562_MoM-wt_100_G2_G02.fcs	50564	99.3	4.24	2305	4256	7261	5	MoMLV	wt	E3
K562_NC_100_G1_G01.fcs	50438	99.3	0.016	392	446	534	5	Mock	NA	E3
K562_FL-W390A_100_H5_H05.fcs	50739	99	7.23	1191	2218	4114	6	FeLV	W390A	E3
K562_FL-W390A_200_H6_H06.fcs	50599	99	7.12	1283	2390	4279	6	FeLV	W390A	E3
K562_FL-W390A_500_H7_H07.fcs	50550	99.1	3.64	1382	2414	4290	6	FeLV	W390A	E3
K562_FL-wt_100_H4_H04.fcs	50673	99.2	8.18	1264	2241	3945	6	FeLV	wt	E3
K562_MoM-W390A_100_H3_H03.fcs	50629	99.1	8.81	2039	3714	6442	6	MoMLV	W390A	E3
K562_MoM-wt_100_H2_H02.fcs	50791	99.2	4.23	2102	4018	7165	6	MoMLV	wt	E3
K562_NC_100_H1_H01.fcs	50634	99.2	0.036	383	466	688	6	Mock	NA	E3
K562_FL-W390A_100_F5_F05.fcs	51479	99.2	6.92	1142	2113	4060	7	FeLV	W390A	E3
K562_FL-W390A_200_F6_F06.fcs	51034	99.1	7.11	1328	2311	4427	7	FeLV	W390A	E3
K562_FL-W390A_500_F7_F07.fcs	51182	99	3.45	1142	2097	3813	7	FeLV	W390A	E3
K562_FL-wt_100_F4_F04.fcs	51051	99.3	8.28	1224	2201	3863	7	FeLV	wt	E3
K562_MoM-W390A_100_F3_F03.fcs	51249	99.2	8.92	1928	3562	6257	7	MoMLV	W390A	E3
K562_MoM-wt_100_F2_F02.fcs	51062	99.4	4.37	2452	4313	7203	7	MoMLV	wt	E3
K562_NC_100_F1_F01.fcs	51421	99.4	0.016	416	510	719	7	Mock	NA	E3
K562_Cr_CBX_2_C2_C02.fcs	49037	97.2	8.19	385	460	589	2	CrERV	CBX	E4
K562_Cr_CBX_3_C2_C02.fcs	50420	98.5	1.29	337	386	476	3	CrERV	CBX	E4
K562_Cr_CBX_4_C2_C02.fcs	47639	91.1	0.13	352	388	453	4	CrERV	CBX	E4
K562_Cr_CBX_5_C2_C02.fcs	40264	81.7	0.057	340	501	1694	5	CrERV	CBX	E4
K562_Cr_CBX_6_C2_C02.fcs	51693	99.8	0.017	446	1728	2439	6	CrERV	CBX	E4
K562_Cr_CBX_8_C2_C02.fcs	44882	99.9	0.013	411	637	932	8	CrERV	CBX	E4
K562_Cr_CBX_10_C2_C02.fcs	47269	99.8	0.042	348	383	441	10	CrERV	CBX	E4
K562_Cr_CBX_12_C2_C02.fcs	47513	99.8	0.061	383	500	807	12	CrERV	CBX	E4
K562_Cr_W390A_2_B2_B02.fcs	49242	97.3	3.41	355	423	515	2	CrERV	W390A	E4
K562_Cr_W390A_3_B2_B02.fcs	50698	98.7	0.54	326	372	459	3	CrERV	W390A	E4
K562_Cr_W390A_4_B2_B02.fcs	48350	90.7	0.058	343	393	1114	4	CrERV	W390A	E4
K562_Cr_W390A_5_B2_B02.fcs	43881	90.6	0.018	308	807	923	5	CrERV	W390A	E4
K562_Cr_W390A_6_B2_B02.fcs	50826	99.8	0.022	527	689	1058	6	CrERV	W390A	E4
K562_Cr_W390A_8_B2_B02.fcs	44209	99.8	0.011	681	1005	1084	8	CrERV	W390A	E4
K562_Cr_W390A_10_B2_B02.fcs	47147	99.8	0.032	332	368	452	10	CrERV	W390A	E4
K562_Cr_W390A_12_B2_B02.fcs	47536	99.8	0.05	370	481	670	12	CrERV	W390A	E4
K562_Cr_wt_2_A2_A02.fcs	43754	97.3	18.5	399	496	693	2	CrERV	wt	E4
K562_Cr_wt_3_A2_A02.fcs	50232	99.1	3.99	343	407	550	3	CrERV	wt	E4
K562_Cr_wt_4_A2_A02.fcs	49423	93.2	0.38	352	408	580	4	CrERV	wt	E4
K562_Cr_wt_5_A2_A02.fcs	45483	94.4	0.084	357	409	599	5	CrERV	wt	E4
K562_Cr_wt_6_A2_A02.fcs	50826	99.8	0.024	328	490	609	6	CrERV	wt	E4
K562_Cr_wt_8_A2_A02.fcs	43122	99.8	0.016	527	979	1315	8	CrERV	wt	E4
K562_Cr_wt_10_A2_A02.fcs	11620	99.8	0.06	301	328	374	10	CrERV	wt	E4
K562_Cr_wt_12_A2_A02.fcs	47499	99.9	0.067	360	426	605	12	CrERV	wt	E4
K562_FL_CBX_2_C5_C05.fcs	48173	97.3	10.2	1170	2497	4667	2	FeLV	CBX	E4
K562_FL_CBX_3_C5_C05.fcs	49838	99.5	10.6	1512	3015	5525	3	FeLV	CBX	E4
