Sample	Cell	Live_Perc	GFP_Perc	GFP_p25	GFP_p50	GFP_p75	dpi	Virus	Variant	Experiment
K562_SN_wt_8_A4_A04.fcs	44959	99.7	2.79	1707	3160	5997	8	SNV	wt	E4
K562_SN_wt_10_A4_A04.fcs	32542	99	2.88	1475	2870	5467	10	SNV	wt	E4
K562_SN_wt_12_A4_A04.fcs	47149	99.9	2.78	1428	2819	5131	12	SNV	wt	E4
K562_Cr_CBX_14_C2_C02.fcs	49731	99.9	0.11	363	453	686	14	CrERV	CBX	E4
K562_Cr_W390A_14_B2_B02.fcs	49598	99.9	0.077	358	397	488	14	CrERV	W390A	E4
K562_Cr_wt_14_A2_A02.fcs	49935	99.9	0.1	334	354	442	14	CrERV	wt	E4
K562_FL_CBX_14_C5_C05.fcs	49349	99.8	10.8	1555	2908	5227	14	FeLV	CBX	E4
K562_FL_W390A_14_B5_B05.fcs	50184	99.7	4.63	1283	2384	4716	14	FeLV	W390A	E4
K562_FL_wt_14_A5_A05.fcs	45166	99.1	5.72	1212	2060	3507	14	FeLV	wt	E4
K562_Ko_CBX_14_C3_C03.fcs	49019	99.8	0.084	351	378	526	14	KoRV	CBX	E4
K562_Ko_W390A_14_B3_B03.fcs	49282	99.8	0.45	382	519	824	14	KoRV	W390A	E4
K562_Ko_wt_14_A3_A03.fcs	49332	99.8	0.35	421	561	910	14	KoRV	wt	E4
K562_Mock_NA_14_B1_B01.fcs	49463	99.8	0.073	366	426	691	14	Mock	NA	E4
K562_MoM_CBX_14_C6_C06.fcs	49686	99.8	10.1	1482	2712	4893	14	MoMLV	CBX	E4
K562_MoM_W390A_14_B6_B06.fcs	49696	99.8	8.03	1639	3039	5268	14	MoMLV	W390A	E4
K562_MoM_wt_14_A6_A06.fcs	49345	99.8	4.8	1841	3434	6191	14	MoMLV	wt	E4
K562_NA_NA_14_A1_A01.fcs	49427	99.8	0.059	422	552	775	14	NA	NA	E4
K562_SN_CBX_14_C4_C04.fcs	49535	99.8	27.1	1159	2124	3843	14	SNV	CBX	E4
K562_SN_W390A_14_B4_B04.fcs	49317	99.8	3.43	1331	2656	4804	14	SNV	W390A	E4
K562_SN_wt_14_A4_A04.fcs	49524	99.8	2.76	1531	3152	5718	14	SNV	wt	E4
