cell	virus	volume	dpi	cell_count	gfp_perc	MFI	MedFI	ID	GFP_rPerc
K562	KoRV	200	24	9697	10.4	1654	1222	KoRV_200	1.083
K562	CrERV	50	24	9540	4.31	2633	2187	CrERV_50	0.911
K562	CrERV	100	24	9597	10.9	2667	2053	CrERV_100	0.886
K562	CrERV	200	24	9582	25.9	3003	2279	CrERV_200	0.925
K562	NA	0	28	10109	0.049	174	180	NA_0	2.227
K562	SFFV	50	28	9881	1.04	5481	4883	SFFV_50	1.405
K562	SFFV	100	28	10005	3.47	5563	4660	SFFV_100	1.235
K562	SFFV	200	28	10007	9.75	6194	5005	SFFV_200	1.114
K562	MoMLV	50	28	9906	1.58	5198	4173	MoMLV_50	1.386
K562	MoMLV	100	28	9925	4.96	4996	3719	MoMLV_100	1.125
K562	MoMLV	200	28	9865	16	5413	4256	MoMLV_200	1.143
K562	FeLV	50	28	10028	1.27	4717	3935	FeLV_50	1.221
K562	FeLV	100	28	9809	4.22	4892	4013	FeLV_100	1.241
K562	FeLV	200	28	9807	11.2	4997	4042	FeLV_200	1.156
K562	SNV	50	28	9860	0.47	2290	603	SNV_50	0.331
K562	SNV	100	28	9895	1.58	2325	1037	SNV_100	0.397
K562	SNV	200	28	9837	5.81	2129	1258	SNV_200	0.412
K562	KoRV	50	28	10059	1.18	1577	1127	KoRV_50	1.269
K562	KoRV	100	28	10074	2.96	1746	1252	KoRV_100	1.05
K562	KoRV	200	28	10140	9.71	1757	1214	KoRV_200	1.011
K562	CrERV	50	28	10197	3.93	2076	1556	CrERV_50	0.831
K562	CrERV	100	28	10461	10.2	2362	1802	CrERV_100	0.829
K562	CrERV	200	28	10327	23.9	2548	1980	CrERV_200	0.854
K562	CrERV	50	3	9149	4.73	1671	1240	CrERV_50	1
K562	CrERV	100	3	9170	12.3	1745	1380	CrERV_100	1
K562	CrERV	200	3	9426	28	2148	1637	CrERV_200	1
K562	FeLV	50	3	9136	1.04	2833	2214	FeLV_50	1
K562	FeLV	100	3	9267	3.4	3357	2899	FeLV_100	1
K562	FeLV	200	3	9258	9.69	3169	2630	FeLV_200	1
K562	KoRV	50	3	9065	0.93	969	614	KoRV_50	1
K562	KoRV	100	3	9178	2.82	1014	652	KoRV_100	1
K562	KoRV	200	3	9073	9.6	1007	738	KoRV_200	1
K562	MoMLV	50	3	9023	1.14	3623	2487	MoMLV_50	1
K562	MoMLV	100	3	9007	4.41	4438	3348	MoMLV_100	1
K562	MoMLV	200	3	9070	14	4801	3674	MoMLV_200	1
K562	SFFV	50	3	9034	0.74	3402	2864	SFFV_50	1
K562	SFFV	100	3	9096	2.81	4028	3014	SFFV_100	1
K562	SFFV	200	3	9425	8.75	5085	4112	SFFV_200	1
