FSC.A	SSC.A	B.530_30.A	V.450_50.A	Population	Cell	Virus	well
71247.2	65910.3	41.293	78.1388	GFP-	K562	CrERV	H08
139534	84989.4	81.3517	169.113	GFP-	K562	CrERV	H08
86618.6	75828.2	42.1152	97.0007	GFP-	K562	CrERV	H08
60420.1	56782.1	47.0966	57.1451	GFP-	K562	CrERV	H08
75082.5	58070.3	60.6501	108.009	GFP-	K562	CrERV	H08
98136.9	62978.4	49.1762	130.789	GFP-	K562	CrERV	H08
83520.9	74692.7	75.1275	78.009	GFP-	K562	CrERV	H08
77905.9	74859.5	31.0891	94.0715	GFP-	K562	CrERV	H08
91570.3	69670.9	39.9389	73.7668	GFP-	K562	CrERV	H08
65384.4	68083.4	59.696	116.46	GFP-	K562	CrERV	H08
85449.1	68154.9	78.8346	82.5492	GFP-	K562	CrERV	H08
84576.7	52826.1	42.4053	81.4687	GFP-	K562	CrERV	H08
107364	89643.9	92.2586	114.574	GFP-	K562	CrERV	H08
108980	62365.2	51.401	97.173	GFP-	K562	CrERV	H08
91853.8	56190.4	46.5646	90.0187	GFP-	K562	CrERV	H08
104299	76306.5	29.6867	79.7392	GFP-	K562	CrERV	H08
113510	81352.4	83.9623	109.512	GFP-	K562	CrERV	H08
101672	76005.9	73.796	110.113	GFP-	K562	CrERV	H08
117913	79609.5	66.9421	153.82	GFP-	K562	CrERV	H08
128244	120379	47.4835	134.545	GFP-	K562	CrERV	H08
110235	83582.5	69.704	127.757	GFP-	K562	CrERV	H08
154899	116366	73.5582	154.966	GFP-	K562	CrERV	H08
75403.9	80273.9	28.3327	104.83	GFP-	K562	CrERV	H08
70707	76489.4	83.9148	123.909	GFP-	K562	CrERV	H08
78496.1	62807.5	76.5537	72.9438	GFP-	K562	CrERV	H08
93310.5	84640.9	64.7504	105.647	GFP-	K562	CrERV	H08
80401.4	65017.8	51.5461	75.2391	GFP-	K562	CrERV	H08
102647	53857.5	54.4448	87.4297	GFP-	K562	CrERV	H08
72648	72012.8	52.9971	135.099	GFP-	K562	CrERV	H08
68373	69952.4	50.869	122.54	GFP-	K562	CrERV	H08
122693	81412.1	44.5333	124.893	GFP-	K562	CrERV	H08
61102.9	51895.6	45.8391	101.864	GFP-	K562	CrERV	H08
149517	105385	117.195	149.786	GFP-	K562	CrERV	H08
82880.7	58558.6	45.3555	88.2498	GFP-	K562	CrERV	H08
77281.2	59050.2	72.0835	76.2347	GFP-	K562	CrERV	H08
129974	109394	79.5946	159.843	GFP-	K562	CrERV	H08
97795.2	56311.1	63.4635	117.017	GFP-	K562	CrERV	H08
119584	96747	59.362	122.84	GFP-	K562	CrERV	H08
68994.2	73973.6	50.5788	75.8452	GFP-	K562	CrERV	H08
90018.9	59176.4	53.1905	99.3254	GFP-	K562	CrERV	H08
89181.3	62794.5	35.8766	68.9565	GFP-	K562	CrERV	H08
66922.9	63842.1	58.2644	94.0284	GFP-	K562	CrERV	H08
113147	73736.9	77.4567	105.346	GFP-	K562	CrERV	H08
110524	82373.5	79.2146	129.508	GFP-	K562	CrERV	H08
121849	79299.3	53.9193	110.37	GFP-	K562	CrERV	H08
78932.2	56920	68.4661	94.7178	GFP-	K562	CrERV	H08
107540	93033.4	116.442	119.887	GFP-	K562	CrERV	H08
107936	79837.7	91.2638	134.076	GFP-	K562	CrERV	H08
108779	66697.6	48.354	112.044	GFP-	K562	CrERV	H08
112443	78639.1	72.8447	127.287	GFP-	K562	CrERV	H08
127513	81779.2	77.3616	162.766	GFP-	K562	CrERV	H08
74879.9	69941.6	46.5646	82.2467	GFP-	K562	CrERV	H08
101302	57576.9	31.7661	97.8188	GFP-	K562	CrERV	H08
124287	86558.6	67.7042	143.748	GFP-	K562	CrERV	H08
104421	91254.5	64.0832	123.011	GFP-	K562	CrERV	H08
123398	97566.3	72.6069	103.885	GFP-	K562	CrERV	H08
137851	95741.7	73.035	151.613	GFP-	K562	CrERV	H08
130990	122671	72.8447	121.941	GFP-	K562	CrERV	H08
153186	115316	138.618	198.596	GFP-	K562	CrERV	H08
87117.4	61096.2	54.3015	100.401	GFP-	K562	CrERV	H08
73963.4	39353.8	54.6358	69.5635	GFP-	K562	CrERV	H08
121860	75391.6	103.091	132.283	GFP-	K562	CrERV	H08
117165	88609	56.9279	131.131	GFP-	K562	CrERV	H08
122582	114827	116.065	168.183	GFP-	K562	CrERV	H08
91648.9	93060.7	59.1234	102.638	GFP-	K562	CrERV	H08
56260.2	42294.6	33.8939	50.094	GFP-	K562	CrERV	H08
83841.2	61692.9	60.3639	96.2686	GFP-	K562	CrERV	H08
110982	85115.3	51.9814	109.598	GFP-	K562	CrERV	H08
67537	51677.8	42.0185	69.867	GFP-	K562	CrERV	H08
125685	103824	50.3853	147.746	GFP-	K562	CrERV	H08
97500.9	69213.6	20.9828	90.4501	GFP-	K562	CrERV	H08
91409.5	69729.2	57.9781	74.8927	GFP-	K562	CrERV	H08
100507	68346.2	53.2872	111.229	GFP-	K562	CrERV	H08
93637.9	66862.9	40.084	83.4567	GFP-	K562	CrERV	H08
134716	89134.3	55.4477	102.208	GFP-	K562	CrERV	H08
78776.8	46327.8	68.9899	87.0844	GFP-	K562	CrERV	H08
121405	129045	63.9879	101.305	GFP-	K562	CrERV	H08
84052.6	44112.9	62.3193	73.8534	GFP-	K562	CrERV	H08
109611	75510.2	100.303	140.384	GFP-	K562	CrERV	H08
116944	117511	71.5601	115.517	GFP-	K562	CrERV	H08
90723	54953.1	63.2728	89.2854	GFP-	K562	CrERV	H08
73151	56518.1	33.7004	75.2824	GFP-	K562	CrERV	H08
114761	89625.2	56.7369	130.96	GFP-	K562	CrERV	H08
54269.7	54109.7	32.2497	69.4335	GFP-	K562	CrERV	H08
79781	79979	19.5322	113.073	GFP-	K562	CrERV	H08
93787.5	65747.4	51.3043	97.8188	GFP-	K562	CrERV	H08
94957.2	72487.4	75.08	102.595	GFP-	K562	CrERV	H08
85818.9	64359	54.7313	60.7964	GFP-	K562	CrERV	H08
115984	86852.7	58.6939	154.966	GFP-	K562	CrERV	H08
117385	108705	88.5627	170.213	GFP-	K562	CrERV	H08
86416.9	60115.5	64.0832	92.0025	GFP-	K562	CrERV	H08
127028	112240	64.4645	100.659	GFP-	K562	CrERV	H08
123866	110659	61.3655	102.208	GFP-	K562	CrERV	H08
96633.9	49808.4	46.0326	90.1481	GFP-	K562	CrERV	H08
123838	90851.9	68.4185	127.757	GFP-	K562	CrERV	H08
147109	117020	77.8368	140.512	GFP-	K562	CrERV	H08
106140	53848.4	57.5008	97.8619	GFP-	K562	CrERV	H08
86770.5	64738	69.6088	116.803	GFP-	K562	CrERV	H08
100775	74727.5	52.9003	87.4729	GFP-	K562	CrERV	H08
103458	58993.3	67.7994	128.739	GFP-	K562	CrERV	H08
139447	86890.5	68.1328	109.083	GFP-	K562	CrERV	H08
102955	95708	108.852	124.551	GFP-	K562	CrERV	H08
93043.9	61991.2	68.6089	80.604	GFP-	K562	CrERV	H08
124105	67380.2	67.3231	120.4	GFP-	K562	CrERV	H08
92245.3	66322.3	42.9373	109.211	GFP-	K562	CrERV	H08
110987	93967.3	63.2252	96.6993	GFP-	K562	CrERV	H08
81769	41977.9	14.7938	63.7498	GFP-	K562	CrERV	H08
68206.9	54143.5	29.2031	26.9446	GFP-	K562	CrERV	H08
117425	105411	119.973	159.843	GFP-	K562	CrERV	H08
100202	98045.8	72.2738	104.057	GFP-	K562	CrERV	H08
83075.4	75546.8	52.6101	125.32	GFP-	K562	CrERV	H08
92279.3	56821.4	48.5475	64.2274	GFP-	K562	CrERV	H08
129542	102612	103.706	192.675	GFP-	K562	CrERV	H08
99419.6	79606.9	42.1635	82.8517	GFP-	K562	CrERV	H08
85666	78616.5	123.078	126.987	GFP-	K562	CrERV	H08
92968.1	47140	71.227	97.4313	GFP-	K562	CrERV	H08
128048	104810	84.9112	167.887	GFP-	K562	CrERV	H08
90860.4	60230.9	60.173	92.0887	GFP-	K562	CrERV	H08
112126	100298	84.0572	109.169	GFP-	K562	CrERV	H08
92655	48962.6	41.7283	81.6416	GFP-	K562	CrERV	H08
125885	67085.5	85.3382	108.911	GFP-	K562	CrERV	H08
97556	65234	87.3301	109.383	GFP-	K562	CrERV	H08
141295	106793	77.029	184.346	GFP-	K562	CrERV	H08
99948.1	93897	68.6089	152.419	GFP-	K562	CrERV	H08
61779.9	46592.6	44.098	67.9591	GFP-	K562	CrERV	H08
100967	58114	66.1799	108.181	GFP-	K562	CrERV	H08
85278.8	79758.4	43.6144	80.5176	GFP-	K562	CrERV	H08
111878	125228	67.9899	106.807	GFP-	K562	CrERV	H08
74970.6	65749	54.1581	45.7353	GFP-	K562	CrERV	H08
74758.1	33348	24.561	54.3609	GFP-	K562	CrERV	H08
112391	124546	56.6415	144.088	GFP-	K562	CrERV	H08
107634	69052.2	55.8775	134.843	GFP-	K562	CrERV	H08
121118	88172.3	81.1618	107.923	GFP-	K562	CrERV	H08
139584	117418	78.1219	99.2823	GFP-	K562	CrERV	H08
130955	86509.5	104.367	140.47	GFP-	K562	CrERV	H08
127991	85269.9	82.6809	159.419	GFP-	K562	CrERV	H08
81123.8	75752.1	46.0809	91.9594	GFP-	K562	CrERV	H08
69817.1	66168.9	87.899	110.327	GFP-	K562	CrERV	H08
77491.4	55811.7	76.7438	81.5984	GFP-	K562	CrERV	H08
98084.4	78133	45.6457	102.681	GFP-	K562	CrERV	H08
122068	79535	51.3526	143.407	GFP-	K562	CrERV	H08
77982.4	55510.6	53.8676	82.3332	GFP-	K562	CrERV	H08
109610	76154.5	67.8947	134.417	GFP-	K562	CrERV	H08
92347.5	72182.6	74.3192	106.162	GFP-	K562	CrERV	H08
111044	69078	80.4495	97.3021	GFP-	K562	CrERV	H08
58132.3	50366.1	58.8848	66.3106	GFP-	K562	CrERV	H08
132825	93593.2	73.1301	131.729	GFP-	K562	CrERV	H08
110052	89290.7	86.5714	142.088	GFP-	K562	CrERV	H08
104525	71901.6	73.8912	106.592	GFP-	K562	CrERV	H08
97091.2	58583	68.5137	95.6656	GFP-	K562	CrERV	H08
114793	92627.5	79.9746	109.941	GFP-	K562	CrERV	H08
102842	92236.6	76.2209	138.212	GFP-	K562	CrERV	H08
108720	111388	97.9385	130.619	GFP-	K562	CrERV	H08
118131	77179.8	49.0795	158.784	GFP-	K562	CrERV	H08
77003.3	38373.8	26.5919	59.3623	GFP-	K562	CrERV	H08
137841	105955	72.7971	167.168	GFP-	K562	CrERV	H08
112338	100902	63.7495	86.0482	GFP-	K562	CrERV	H08
131685	102658	73.1777	159.292	GFP-	K562	CrERV	H08
109397	116720	63.5112	102.896	GFP-	K562	CrERV	H08
101693	74006.9	49.2246	122.968	GFP-	K562	CrERV	H08
115048	86609.7	54.4925	114.274	GFP-	K562	CrERV	H08
110345	81706.8	67.085	116.846	GFP-	K562	CrERV	H08
128753	101017	82.2537	153.481	GFP-	K562	CrERV	H08
99979.2	56576.6	34.6676	68.0892	GFP-	K562	CrERV	H08
76551.1	84338.1	60.8409	87.5161	GFP-	K562	CrERV	H08
142603	124093	112.578	150.211	GFP-	K562	CrERV	H08
130044	106682	71.0843	140.555	GFP-	K562	CrERV	H08
93833.9	73734.6	53.5291	113.974	GFP-	K562	CrERV	H08
122627	73071	59.7437	116.031	GFP-	K562	CrERV	H08
116443	90090.2	34.6676	88.8107	GFP-	K562	CrERV	H08
104565	83985.3	31.2341	95.4502	GFP-	K562	CrERV	H08
94577.5	54550	50.0951	83.4135	GFP-	K562	CrERV	H08
102237	60584.8	41.1479	70.4306	GFP-	K562	CrERV	H08
102790	59378.1	70.0848	106.893	GFP-	K562	CrERV	H08
122607	81171.5	73.368	111.186	GFP-	K562	CrERV	H08
125261	94506	92.448	110.671	GFP-	K562	CrERV	H08
109928	91452.6	72.0359	136.123	GFP-	K562	CrERV	H08
67660.1	66836.2	47.7737	104.83	GFP-	K562	CrERV	H08
88528	74562.1	78.2169	138.212	GFP-	K562	CrERV	H08
96161	66238.8	102.288	91.097	GFP-	K562	CrERV	H08
101151	73010.2	78.1219	84.0183	GFP-	K562	CrERV	H08
100215	76015.9	60.6978	127.97	GFP-	K562	CrERV	H08
85206.5	48708.2	60.173	86.6095	GFP-	K562	CrERV	H08
105663	60947.7	52.0781	135.014	GFP-	K562	CrERV	H08
120472	79328.8	61.1271	92.7785	GFP-	K562	CrERV	H08
77815.4	58911.5	48.354	37.0894	GFP-	K562	CrERV	H08
122060	73454.6	89.6529	115.431	GFP-	K562	CrERV	H08
101932	92379.5	58.169	88.1203	GFP-	K562	CrERV	H08
86216.2	79176.2	56.6892	102.81	GFP-	K562	CrERV	H08
131493	103416	82.3487	150.466	GFP-	K562	CrERV	H08
79368.5	56482.3	47.9187	48.9114	GFP-	K562	CrERV	H08
104804	76613.7	57.8826	158.868	GFP-	K562	CrERV	H08
117739	82573.5	55.209	132.753	GFP-	K562	CrERV	H08
125562	95340.4	99.7356	123.096	GFP-	K562	CrERV	H08
102564	80244.5	55.1134	95.1056	GFP-	K562	CrERV	H08
83913.5	47880.5	72.5593	84.5799	GFP-	K562	CrERV	H08
70669.8	46035.4	16.8728	57.6669	GFP-	K562	CrERV	H08
130999	107189	55.2567	116.246	GFP-	K562	CrERV	H08
100898	83455.6	61.1271	129.594	GFP-	K562	CrERV	H08
114924	105731	61.7947	117.06	GFP-	K562	CrERV	H08
117510	98285.1	46.3227	112.773	GFP-	K562	CrERV	H08
136024	91567.6	66.8945	131.6	GFP-	K562	CrERV	H08
120971	104231	94.1053	139.788	GFP-	K562	CrERV	H08
129274	76636.3	96.945	118.388	GFP-	K562	CrERV	H08
115797	83310.4	109.04	128.398	GFP-	K562	CrERV	H08
101503	75124.6	51.8363	107.494	GFP-	K562	CrERV	H08
60139.5	57272	52.0781	63.9669	GFP-	K562	CrERV	H08
83442.2	62994.6	84.2945	95.321	GFP-	K562	CrERV	H08
99395.2	92251.3	69.6564	89.6736	GFP-	K562	CrERV	H08
65973.5	55013.2	26.205	80.0419	GFP-	K562	CrERV	H08
92485.5	63762.2	90.3163	132.924	GFP-	K562	CrERV	H08
87079.5	78054	51.3043	84.5799	GFP-	K562	CrERV	H08
83627.7	78976.7	66.561	92.7354	GFP-	K562	CrERV	H08
76302.7	49950.2	46.5162	95.3641	GFP-	K562	CrERV	H08
107728	71819.7	87.093	170.213	GFP-	K562	CrERV	H08
125307	90503.4	39.4553	161.707	GFP-	K562	CrERV	H08
90512.2	65103.7	57.5962	86.6095	GFP-	K562	CrERV	H08
140539	102051	79.2621	141.747	GFP-	K562	CrERV	H08
125301	73053.1	66.5134	151.443	GFP-	K562	CrERV	H08
129313	109588	113.945	129.551	GFP-	K562	CrERV	H08
120259	100204	63.2252	119.33	GFP-	K562	CrERV	H08
127557	88290.8	83.2505	147.193	GFP-	K562	CrERV	H08
87930.8	96908.3	52.5134	92.7354	GFP-	K562	CrERV	H08
82652.7	64696	54.7313	71.0374	GFP-	K562	CrERV	H08
81590.2	94777	73.1301	92.7785	GFP-	K562	CrERV	H08
86248.1	94251	79.0721	100.315	GFP-	K562	CrERV	H08
100392	80907	88.6575	88.9402	GFP-	K562	CrERV	H08
107448	79110.1	36.07	59.71	GFP-	K562	CrERV	H08
70516.8	39401.7	13.0532	42.3827	GFP-	K562	CrERV	H08
95926.9	57643.9	56.9279	76.0616	GFP-	K562	CrERV	H08
54834.8	53002.1	31.7661	69.5202	GFP-	K562	CrERV	H08
82753.8	69051.4	71.5126	121.214	GFP-	K562	CrERV	H08
68486.3	64277.4	55.6387	100.487	GFP-	K562	CrERV	H08
73466.8	69327.2	83.6776	89.1991	GFP-	K562	CrERV	H08
68459.9	71889.5	34.6676	119.544	GFP-	K562	CrERV	H08
87429	63232.1	65.894	117.06	GFP-	K562	CrERV	H08
142920	140071	114.275	188.891	GFP-	K562	CrERV	H08
87328.7	58941.8	46.8547	83.8023	GFP-	K562	CrERV	H08
113209	106193	111.493	143.492	GFP-	K562	CrERV	H08
124556	99859.8	81.779	129.295	GFP-	K562	CrERV	H08
85813.4	93709.7	45.8391	106.033	GFP-	K562	CrERV	H08
84986.9	84065.5	58.1213	115.346	GFP-	K562	CrERV	H08
97728.6	78154.2	108.616	129.337	GFP-	K562	CrERV	H08
86932	82550.9	83.1081	126.56	GFP-	K562	CrERV	H08
94864.4	65673.9	40.4709	108.61	GFP-	K562	CrERV	H08
76503.5	56123.9	51.0141	98.1632	GFP-	K562	CrERV	H08
123365	81097.9	114.322	112.601	GFP-	K562	CrERV	H08
77452	68519.9	54.5881	75.2391	GFP-	K562	CrERV	H08
112620	80658.6	46.5162	93.7698	GFP-	K562	CrERV	H08
98750.7	72285.6	58.6462	107.537	GFP-	K562	CrERV	H08
97170.8	69199.7	49.805	69.0866	GFP-	K562	CrERV	H08
103001	68264.1	62.51	101.089	GFP-	K562	CrERV	H08
115614	88997.8	61.6517	96.6993	GFP-	K562	CrERV	H08
58611.9	39577.9	47.822	60.275	GFP-	K562	CrERV	H08
100889	80419.9	55.4	94.9763	GFP-	K562	CrERV	H08
95383.2	64764.7	52.9003	114.445	GFP-	K562	CrERV	H08
126083	93277.5	72.4166	114.917	GFP-	K562	CrERV	H08
86350	62890.1	64.0355	95.7087	GFP-	K562	CrERV	H08
105244	79100.6	66.1323	117.317	GFP-	K562	CrERV	H08
107956	54048.7	54.4448	64.6181	GFP-	K562	CrERV	H08
101548	69422	48.4508	96.8285	GFP-	K562	CrERV	H08
66787.1	50177.4	19.4838	57.2755	GFP-	K562	CrERV	H08
127873	119121	80.1171	129.081	GFP-	K562	CrERV	H08
90588.9	59514.7	66.8945	120.529	GFP-	K562	CrERV	H08
119781	65237.9	113.285	126.047	GFP-	K562	CrERV	H08
132651	117743	87.9465	161.072	GFP-	K562	CrERV	H08
75173.4	56912.2	57.5008	99.0671	GFP-	K562	CrERV	H08
98406.5	85461.8	81.5416	137.444	GFP-	K562	CrERV	H08
84497.8	56984.2	30.6055	92.0025	GFP-	K562	CrERV	H08
97680.2	92729.8	73.035	112.173	GFP-	K562	CrERV	H08
102783	97971.1	63.0821	79.177	GFP-	K562	CrERV	H08
91834.6	45375.7	56.164	39.8243	GFP-	K562	CrERV	H08
95823.4	83501.3	54.5881	113.759	GFP-	K562	CrERV	H08
88497.6	51687.4	44.2431	82.3332	GFP-	K562	CrERV	H08
74727	47807.4	15.9058	56.1882	GFP-	K562	CrERV	H08
86217.3	69116.3	50.7239	79.6095	GFP-	K562	CrERV	H08
71587.9	60864	50.337	92.8647	GFP-	K562	CrERV	H08
104432	74240.6	68.4661	101.692	GFP-	K562	CrERV	H08
82020.2	95015.8	49.9501	108.482	GFP-	K562	CrERV	H08
113316	72921.9	77.0765	107.15	GFP-	K562	CrERV	H08
112501	84976.2	82.6335	155.518	GFP-	K562	CrERV	H08
117665	59895.8	77.5042	122.797	GFP-	K562	CrERV	H08
69712.1	55395.9	62.7007	97.6035	GFP-	K562	CrERV	H08
96459.3	70163.1	71.6077	94.33	GFP-	K562	CrERV	H08
81192.8	67600.4	56.546	89.2422	GFP-	K562	CrERV	H08
107761	75039	90.7427	92.6923	GFP-	K562	CrERV	H08
121905	82321.2	48.4991	132.625	GFP-	K562	CrERV	H08
113560	69994.9	81.1143	81.1229	GFP-	K562	CrERV	H08
83114.8	61480.9	55.1134	84.1479	GFP-	K562	CrERV	H08
105670	74878.4	80.0221	99.5836	GFP-	K562	CrERV	H08
87482.7	72930.6	47.2416	77.0138	GFP-	K562	CrERV	H08
85391.2	67676.3	74.8898	80.777	GFP-	K562	CrERV	H08
86036.6	76769.6	57.8349	108.61	GFP-	K562	CrERV	H08
113978	96862.1	45.694	101.864	GFP-	K562	CrERV	H08
91364.9	53818.6	59.3143	100.1	GFP-	K562	CrERV	H08
109555	133728	95.1468	136.123	GFP-	K562	CrERV	H08
120801	90687.4	101.059	133.692	GFP-	K562	CrERV	H08
81413.5	71249.9	41.0028	69.9971	GFP-	K562	CrERV	H08
79364.5	62575.2	46.0809	83.8023	GFP-	K562	CrERV	H08
87897	67091.6	75.9833	99.6266	GFP-	K562	CrERV	H08
73413.6	57079.5	26.7853	80.9067	GFP-	K562	CrERV	H08
93680.8	49742.9	57.7871	56.4927	GFP-	K562	CrERV	H08
121550	79670.3	79.7371	112.644	GFP-	K562	CrERV	H08
107060	67548.8	67.0374	86.8254	GFP-	K562	CrERV	H08
145129	107030	78.1694	173.043	GFP-	K562	CrERV	H08
121340	81119.3	63.0345	125.577	GFP-	K562	CrERV	H08
97462	67788.4	95.3834	89.3285	GFP-	K562	CrERV	H08
82495.2	73936.7	47.1933	104.228	GFP-	K562	CrERV	H08
107904	73170	84.9587	118.088	GFP-	K562	CrERV	H08
99982.5	66438.1	46.3227	115.817	GFP-	K562	CrERV	H08
113196	72834.9	37.9077	116.717	GFP-	K562	CrERV	H08
74016.7	55360.9	42.7439	81.9442	GFP-	K562	CrERV	H08
58327.6	46541.2	41.6799	44.1472	GFP-	K562	CrERV	H08
82232.3	67683.9	44.098	119.844	GFP-	K562	CrERV	H08
81916	42105.6	39.8905	87.5161	GFP-	K562	CrERV	H08
85386.9	51256.2	44.0013	73.4203	GFP-	K562	CrERV	H08
115326	74599.5	44.0497	97.0868	GFP-	K562	CrERV	H08
112709	112198	65.6558	113.245	GFP-	K562	CrERV	H08
103469	58660.2	52.7552	108.482	GFP-	K562	CrERV	H08
66677.8	32574.5	10.5874	46.0441	GFP-	K562	CrERV	H08
122636	107477	49.1279	144.769	GFP-	K562	CrERV	H08
109466	74698.1	60.8886	131.6	GFP-	K562	CrERV	H08
115288	92329.3	46.0326	112.473	GFP-	K562	CrERV	H08
120745	92825.6	87.6146	109.598	GFP-	K562	CrERV	H08
121095	104032	121.761	129.508	GFP-	K562	CrERV	H08
109083	66037.3	67.9423	104.057	GFP-	K562	CrERV	H08
104025	67933.5	46.3227	101.219	GFP-	K562	CrERV	H08
121099	81624	70.8463	140.129	GFP-	K562	CrERV	H08
61730.8	50331.8	57.1189	90.4932	GFP-	K562	CrERV	H08
66671.4	59221.7	72.0359	119.373	GFP-	K562	CrERV	H08
126280	107955	46.2744	123.054	GFP-	K562	CrERV	H08
67754.2	59199.4	43.6144	66.918	GFP-	K562	CrERV	H08
111799	58594.9	33.2652	99.1102	GFP-	K562	CrERV	H08
96329.3	77303.6	66.3228	128.782	GFP-	K562	CrERV	H08
111008	73626.3	53.9644	86.2641	GFP-	K562	CrERV	H08
81333.4	54468.8	38.2463	57.406	GFP-	K562	CrERV	H08
63972.3	55304.4	37.3274	77.9225	GFP-	K562	CrERV	H08
57600.5	46234.2	39.8905	55.1877	GFP-	K562	CrERV	H08
116058	83976.1	51.8847	120.4	GFP-	K562	CrERV	H08
61120.8	45671.8	16.486	68.0892	GFP-	K562	CrERV	H08
97174.2	73100.3	82.0638	93.2957	GFP-	K562	CrERV	H08
139122	84660	70.3704	118.987	GFP-	K562	CrERV	H08
99773.9	114890	60.2208	116.16	GFP-	K562	CrERV	H08
79357.7	57166.3	27.7524	63.0985	GFP-	K562	CrERV	H08
107440	75189.4	79.6421	94.4593	GFP-	K562	CrERV	H08
84664.6	65626.4	41.9701	95.2348	GFP-	K562	CrERV	H08
84003.5	59703.9	36.6987	59.8404	GFP-	K562	CrERV	H08
100059	63950.3	33.3619	89.1128	GFP-	K562	CrERV	H08
96007.2	75677.7	44.3399	96.3978	GFP-	K562	CrERV	H08
114898	91945.4	82.7759	130.832	GFP-	K562	CrERV	H08
116429	73081.1	39.2135	98.2924	GFP-	K562	CrERV	H08
102545	94195.5	73.6533	108.61	GFP-	K562	CrERV	H08
86366.9	56321.6	51.401	105.346	GFP-	K562	CrERV	H08
128302	98906.7	110.456	157.384	GFP-	K562	CrERV	H08
87142.1	57975.9	36.3118	51.7491	GFP-	K562	CrERV	H08
92421.5	69507	62.7961	135.27	GFP-	K562	CrERV	H08
98021.1	107664	82.9182	157.045	GFP-	K562	CrERV	H08
85812.8	100403	60.2208	139.575	GFP-	K562	CrERV	H08
60789.4	58763	26.6402	86.7822	GFP-	K562	CrERV	H08
87389.2	65748.3	25.1896	90.7089	GFP-	K562	CrERV	H08
109636	94080.4	58.7417	114.703	GFP-	K562	CrERV	H08
124018	87127.1	38.7299	88.1203	GFP-	K562	CrERV	H08
148055	129324	136.978	188.092	GFP-	K562	CrERV	H08
95002.7	67326.4	37.3758	106.506	GFP-	K562	CrERV	H08
90359.4	75367.5	64.3692	92.8216	GFP-	K562	CrERV	H08
85403.4	53777.1	32.1046	54.0998	GFP-	K562	CrERV	H08
60128.9	52335.8	15.7608	59.6666	GFP-	K562	CrERV	H08
105332	55235.9	59.3143	68.9132	GFP-	K562	CrERV	H08
102176	77677.4	49.9984	108.439	GFP-	K562	CrERV	H08
139052	93938.7	75.6505	134.289	GFP-	K562	CrERV	H08
149558	106430	74.3192	165.814	GFP-	K562	CrERV	H08
108703	70328.3	60.984	131.174	GFP-	K562	CrERV	H08
104564	46852.1	42.8406	113.588	GFP-	K562	CrERV	H08
128230	82214.5	84.8164	132.241	GFP-	K562	CrERV	H08
105312	101212	125.758	115.346	GFP-	K562	CrERV	H08
94850.3	71690.9	44.2431	84.4503	GFP-	K562	CrERV	H08
124724	105186	86.7611	129.679	GFP-	K562	CrERV	H08
95040.4	58451.6	67.1326	96.0102	GFP-	K562	CrERV	H08
105877	67165	83.0132	144.471	GFP-	K562	CrERV	H08
105745	93687	62.8914	140.81	GFP-	K562	CrERV	H08
125143	96477.1	85.5279	159.335	GFP-	K562	CrERV	H08
121833	94647.7	89.4633	131.045	GFP-	K562	CrERV	H08
70407.4	68215.2	51.6912	82.8517	GFP-	K562	CrERV	H08
117273	71178.4	52.5618	70.8206	GFP-	K562	CrERV	H08
107384	57439.4	78.1219	100.702	GFP-	K562	CrERV	H08
62688.3	60235.2	50.7723	103.971	GFP-	K562	CrERV	H08
80040.3	47720.8	33.3619	54.5785	GFP-	K562	CrERV	H08
100392	88623.6	87.662	147.958	GFP-	K562	CrERV	H08
93446.3	65947.2	61.3655	53.2293	GFP-	K562	CrERV	H08
104179	56503.4	43.9529	88.9833	GFP-	K562	CrERV	H08
94563.1	81855.6	110.314	135.313	GFP-	K562	CrERV	H08
67517.2	48834.8	5.70446	48.6909	GFP-	K562	CrERV	H08
91841.1	74124.7	56.4027	87.775	GFP-	K562	CrERV	H08
131394	117202	80.5445	164.502	GFP-	K562	CrERV	H08
90496.1	85220.3	72.6069	106.076	GFP-	K562	CrERV	H08
126953	101950	65.7511	147.788	GFP-	K562	CrERV	H08
83740.3	70797.8	31.8628	36.3396	GFP-	K562	CrERV	H08
84781.1	60021.5	56.9757	76.1915	GFP-	K562	CrERV	H08
74012.7	58408.6	76.2685	125.149	GFP-	K562	CrERV	H08
92840.7	48019.5	61.0794	73.4203	GFP-	K562	CrERV	H08
91375.2	79881	73.7009	103.154	GFP-	K562	CrERV	H08
106702	95832.3	99.2627	156.494	GFP-	K562	CrERV	H08
91240.4	54419.2	36.7471	107.795	GFP-	K562	CrERV	H08
89660.6	52388.8	37.0856	68.0025	GFP-	K562	CrERV	H08
63702.9	64908.2	67.847	102.509	GFP-	K562	CrERV	H08
88999.8	52474.9	56.4505	80.1716	GFP-	K562	CrERV	H08
115163	84362.4	64.3692	96.8715	GFP-	K562	CrERV	H08
76388.3	62274.1	59.8391	104.83	GFP-	K562	CrERV	H08
100185	69958.8	72.7971	115.303	GFP-	K562	CrERV	H08
104637	81818.5	77.3616	115.389	GFP-	K562	CrERV	H08
141089	109624	111.352	154.118	GFP-	K562	CrERV	H08
125430	96891.1	134.492	120.529	GFP-	K562	CrERV	H08
82785.1	51805.5	43.1308	92.8647	GFP-	K562	CrERV	H08
85600.1	48102.9	30.4121	97.8619	GFP-	K562	CrERV	H08
