FSC.A	SSC.A	B.530_30.A	V.450_50.A	Population	Cell	Virus	well
89434.4	60905.8	54.8746	64.5747	GFP-	K562	CrERV	H08
105096	94363.6	54.9224	157.681	GFP-	K562	CrERV	H08
81788.6	74350.7	40.9061	101.262	GFP-	K562	CrERV	H08
103640	54435.2	63.5112	102.251	GFP-	K562	CrERV	H08
120983	87633.8	84.674	144.258	GFP-	K562	CrERV	H08
70900.3	55356	46.2744	102.122	GFP-	K562	CrERV	H08
83643.9	72368.8	47.9187	79.7825	GFP-	K562	CrERV	H08
119992	93133.8	77.6943	133.905	GFP-	K562	CrERV	H08
79281.6	52052.3	44.9202	80.3879	GFP-	K562	CrERV	H08
94789.3	78136.1	67.4184	95.881	GFP-	K562	CrERV	H08
119347	101450	93.2057	167.337	GFP-	K562	CrERV	H08
91090.5	78817.8	65.7035	129.038	GFP-	K562	CrERV	H08
60432.6	50140.5	19.2904	84.8391	GFP-	K562	CrERV	H08
63103.3	64702.6	62.4146	124.85	GFP-	K562	CrERV	H08
144448	97588.3	88.1835	136.251	GFP-	K562	CrERV	H08
114424	85502.9	56.164	131.259	GFP-	K562	CrERV	H08
83660.5	55815.5	84.8164	105.733	GFP-	K562	CrERV	H08
71144.5	65778.4	67.1326	101.262	GFP-	K562	CrERV	H08
80875.5	70330.5	56.4505	108.825	GFP-	K562	CrERV	H08
91087	67537.7	26.1567	105.99	GFP-	K562	CrERV	H08
120357	85508.7	78.8346	138.382	GFP-	K562	CrERV	H08
114450	107388	104.367	152.25	GFP-	K562	CrERV	H08
93414.9	71459.9	77.6943	134.843	GFP-	K562	CrERV	H08
112807	120276	70.7035	142.428	GFP-	K562	CrERV	H08
118150	63071	63.7972	99.5836	GFP-	K562	CrERV	H08
64563.3	43018.7	47.5802	67.9591	GFP-	K562	CrERV	H08
101481	75538.2	49.2729	101.305	GFP-	K562	CrERV	H08
106391	107161	90.8375	109.04	GFP-	K562	CrERV	H08
113659	97946.7	73.7485	125.662	GFP-	K562	CrERV	H08
104193	62350.1	56.3073	116.117	GFP-	K562	CrERV	H08
148065	114022	119.173	134.545	GFP-	K562	CrERV	H08
84565.8	54792.3	72.6544	93.1664	GFP-	K562	CrERV	H08
87752.2	67445.7	59.6005	102.466	GFP-	K562	CrERV	H08
77127.3	62269.7	68.228	76.3646	GFP-	K562	CrERV	H08
100827	75776.3	63.3682	97.0438	GFP-	K562	CrERV	H08
112733	90322	98.4588	150.338	GFP-	K562	CrERV	H08
120357	84740	67.7994	140.81	GFP-	K562	CrERV	H08
84025.8	64042.7	79.8796	101.262	GFP-	K562	CrERV	H08
98863.2	65798.8	69.942	108.095	GFP-	K562	CrERV	H08
97437.8	101369	89.2737	112.816	GFP-	K562	CrERV	H08
81415.1	51264.2	47.2416	60.7095	GFP-	K562	CrERV	H08
135460	98578.5	110.739	174.141	GFP-	K562	CrERV	H08
68738.9	59528.3	42.9857	96.2686	GFP-	K562	CrERV	H08
66829.3	53789.4	23.9807	96.5701	GFP-	K562	CrERV	H08
133695	114563	95.7147	148.256	GFP-	K562	CrERV	H08
142552	131704	105.217	156.027	GFP-	K562	CrERV	H08
69126.5	82158.1	80.2595	88.6381	GFP-	K562	CrERV	H08
58206	69466.2	76.8388	92.0456	GFP-	K562	CrERV	H08
84003.2	66692.9	55.8298	109.254	GFP-	K562	CrERV	H08
79526	78671.1	36.7954	92.8216	GFP-	K562	CrERV	H08
88209.6	76004.2	74.4618	115.989	GFP-	K562	CrERV	H08
104915	94456.6	79.2146	161.369	GFP-	K562	CrERV	H08
118311	78076.2	97.5601	142.513	GFP-	K562	CrERV	H08
82397.5	71921	43.566	112.301	GFP-	K562	CrERV	H08
65769.5	41792.3	40.4225	66.1371	GFP-	K562	CrERV	H08
92456.4	57561.7	47.1933	89.3716	GFP-	K562	CrERV	H08
83151.4	75658.7	39.6487	114.102	GFP-	K562	CrERV	H08
121609	80716.7	74.8422	140.512	GFP-	K562	CrERV	H08
101476	79353	74.7947	113.888	GFP-	K562	CrERV	H08
111154	88086.3	51.6428	124.337	GFP-	K562	CrERV	H08
83193.2	73261.5	70.7987	123.952	GFP-	K562	CrERV	H08
70726.7	50073.4	52.2232	67.6989	GFP-	K562	CrERV	H08
63873	51676.8	61.5086	62.0128	GFP-	K562	CrERV	H08
105566	98820.3	70.418	113.159	GFP-	K562	CrERV	H08
72305.9	53079.1	53.6258	90.2775	GFP-	K562	CrERV	H08
86683.9	68673	90.6006	99.5836	GFP-	K562	CrERV	H08
88449.4	52917.9	60.6024	110.37	GFP-	K562	CrERV	H08
138281	116879	62.8914	117.574	GFP-	K562	CrERV	H08
136441	86560.3	74.6045	126.047	GFP-	K562	CrERV	H08
114034	87017	69.6088	102.724	GFP-	K562	CrERV	H08
120445	83261.4	41.0996	135.568	GFP-	K562	CrERV	H08
98259.4	77389.1	72.7971	127.543	GFP-	K562	CrERV	H08
70806	43873.2	61.1747	90.5795	GFP-	K562	CrERV	H08
83764.3	48637.5	55.7343	109.512	GFP-	K562	CrERV	H08
122464	91063.3	48.1606	118.559	GFP-	K562	CrERV	H08
114000	77792.7	57.1666	81.6416	GFP-	K562	CrERV	H08
78240.6	42905.1	31.1858	62.0562	GFP-	K562	CrERV	H08
140312	119143	81.684	155.136	GFP-	K562	CrERV	H08
117946	88027	57.1666	129.295	GFP-	K562	CrERV	H08
62603.4	41901.9	59.8868	70.4306	GFP-	K562	CrERV	H08
77675.8	61294.5	37.9561	71.3407	GFP-	K562	CrERV	H08
105182	88083.8	86.2868	152.929	GFP-	K562	CrERV	H08
68719.7	58964.5	27.7524	89.9325	GFP-	K562	CrERV	H08
127498	99143.5	79.8796	117.531	GFP-	K562	CrERV	H08
99922	58794.8	52.7552	77.7494	GFP-	K562	CrERV	H08
