Sample	Virus	TargetSite	mCherry_Freq	mCherry_MFI	PCR	Seq	target_allele	CN
7K1-D5	KoRV	DoT:6.3	100	7907	--	NA	NA	NA
7M-B2	MoMLV	DoT:6.3	84.4	18682	--	NA	NA	NA
7K1-E7	KoRV	DoT:6.3	91.5	10882	+-	NA	NA	NA
7M-B3	MoMLV	DoT:6.3	0.04	8228	--	NA	NA	NA
7K2-F3	KoRV	DoT:6.3	99.9	7115	+-	NA	NA	NA
7M-B7	MoMLV	DoT:6.3	99.8	25374	-+	NA	1	2.22
7K2-F10	KoRV	DoT:6.3	100	7954	++	++	0	2.37
7M-B11	MoMLV	DoT:6.3	30	8837	-+	NA	1	1.34
7K1-A10	KoRV	DoT:6.3	99.9	7601	--	NA	NA	NA
7M-C8	MoMLV	DoT:6.3	0.011	7806	--	NA	NA	NA
7K1-C5	KoRV	DoT:6.3	99.9	5917	--	NA	NA	NA
7M-C11	MoMLV	DoT:6.3	0.00913	1200	--	NA	NA	NA
7K1-C6	KoRV	DoT:6.3	99.9	6120	--	NA	NA	NA
7M-C12	MoMLV	DoT:6.3	97.4	17525	--	NA	NA	NA
7K1-D2	KoRV	DoT:6.3	99.8	5376	--	NA	NA	NA
7M-D2	MoMLV	DoT:6.3	0.034	9156	--	NA	NA	NA
7K1-D6	KoRV	DoT:6.3	99.7	4850	+-	NA	NA	NA
7M-D4	MoMLV	DoT:6.3	1.76	1001	--	NA	NA	NA
7K1-E4	KoRV	DoT:6.3	99.7	4796	+-	NA	NA	NA
7M-D6	MoMLV	DoT:6.3	6.61	3075	--	NA	NA	NA
7K1-E6	KoRV	DoT:6.3	100	10592	+-	NA	NA	NA
7M-E1	MoMLV	DoT:6.3	0.33	4141	++	++	1	1.71
7K1-E8	KoRV	DoT:6.3	99.9	6516	+-	NA	NA	NA
7M-E11	MoMLV	DoT:6.3	99.1	7160	--	NA	NA	NA
7K1-F8	KoRV	DoT:6.3	99.7	4187	++	++	0	2.13
7M-E12	MoMLV	DoT:6.3	87	3739	--	NA	NA	NA
7K1-G8	KoRV	DoT:6.3	100	10364	--	NA	NA	NA
7M-F4	MoMLV	DoT:6.3	0.05	3275	--	NA	NA	NA
7K1-G11	KoRV	DoT:6.3	99.9	7246	--	NA	NA	NA
7M-G5	MoMLV	DoT:6.3	77.3	13969	--	NA	NA	NA
7K1-H11	KoRV	DoT:6.3	99.8	7411	+-	NA	NA	NA
7M-G7	MoMLV	DoT:6.3	0.03	8955	--	NA	NA	NA
7K2-B3	KoRV	DoT:6.3	100	8791	++	++	1	1.27
7M-H7	MoMLV	DoT:6.3	99.2	24550	++	++	1	2.28
7K2-B4	KoRV	DoT:6.3	99.6	5255	++	++	0	0.99
7M-H9	MoMLV	DoT:6.3	0.048	18844	--	NA	NA	NA
7K2-E7	KoRV	DoT:6.3	99.9	6507	-+	NA	NA	NA
7M-C4	MoMLV	DoT:6.3	0.015	22445	--	NA	NA	NA
7K2-F1	KoRV	DoT:6.3	99.9	7963	--	NA	NA	NA
7M-E10	MoMLV	DoT:6.3	0.35	2900	++	+-	1	1.46
7K2-F8	KoRV	DoT:6.3	84.9	4647	++	++	1	3.22
7M-F5	MoMLV	DoT:6.3	88.5	39961	--	NA	NA	NA
7K2-G2	KoRV	DoT:6.3	99.9	8877	+-	NA	NA	NA
7K2-H5	KoRV	DoT:6.3	99.9	9200	++	++	0	2.74
7K1-A8	KoRV	DoT:6.3	99.9	6251	+-	NA	NA	NA
7K1-B6	KoRV	DoT:6.3	99.7	4992	+-	NA	NA	NA
7K1-B12	KoRV	DoT:6.3	99.9	7910	--	NA	NA	NA
7K1-C1	KoRV	DoT:6.3	99.9	6125	+-	NA	NA	NA
7K1-C4	KoRV	DoT:6.3	99.9	6732	+-	NA	NA	NA
7K1-C7	KoRV	DoT:6.3	100	8891	--	NA	NA	NA
7K1-E10	KoRV	DoT:6.3	98.7	4268	+-	NA	NA	NA
7K1-F7	KoRV	DoT:6.3	100	11718	+-	NA	NA	NA
7K1-F9	KoRV	DoT:6.3	99.9	6257	-+	NA	NA	NA
7K1-H2	KoRV	DoT:6.3	100	9356	+-	NA	NA	NA
7K1-H10	KoRV	DoT:6.3	81.3	5663	+-	NA	NA	NA
7K2-C2	KoRV	DoT:6.3	99.8	3749	++	+-	0	3.36
7K2-C9	KoRV	DoT:6.3	100	8649	-+	NA	NA	NA
7K2-C10	KoRV	DoT:6.3	100	9419	++	++	0	2.4
7K2-D1	KoRV	DoT:6.3	99.9	5073	++	++	1	1.14
7K2-F7	KoRV	DoT:6.3	100	6871	++	++	1	1.26
7K2-G1	KoRV	DoT:6.3	99.9	4782	+-	NA	NA	NA
7K2-H2	KoRV	DoT:6.3	100	10449	++	++	0	3.65
7K2-H6	KoRV	DoT:6.3	96.7	6530	-+	NA	NA	NA
7K2-H9	KoRV	DoT:6.3	99.9	5348	+-	NA	NA	NA
7K2-H10	KoRV	DoT:6.3	100	8416	++	+-	NA	NA
7F-E12	FeLV	DoT:6.3	0.022	3290	--	NA	NA	NA
7F-F3	FeLV	DoT:6.3	99.8	39952	-+	NA	0	3.11
7F-F4	FeLV	DoT:6.3	90.3	5996	--	NA	NA	NA
7F-F8	FeLV	DoT:6.3	99.4	76765	+-	NA	1	5.7
7F-G3	FeLV	DoT:6.3	100	48201	++	++	0	2.3
7F-G8	FeLV	DoT:6.3	0.045	40135	--	NA	NA	NA
7F-G12	FeLV	DoT:6.3	0.00881	22567	--	NA	NA	NA
7F-H1	FeLV	DoT:6.3	99.9	22060	-+	NA	NA	1.23
7F-H2	FeLV	DoT:6.3	99.9	7488	+-	NA	0	1.47
7M-G12	MoMLV	DoT:6.3	94.2	2278	--	NA	NA	NA
7M-H5	MoMLV	DoT:6.3	0.28	1562	+-	NA	1	1.06
7M-A4	MoMLV	DoT:6.3	0.043	1234	--	NA	NA	NA
7M-B4	MoMLV	DoT:6.3	0.00183	2951	--	NA	NA	NA
7M-B10	MoMLV	DoT:6.3	0.64	3247	--	NA	NA	NA
7M-E3	MoMLV	DoT:6.3	5.84	5325	--	NA	NA	NA
7M-F3	MoMLV	DoT:6.3	0.012	7176	NA	NA	unk	NA
7M-F6	MoMLV	DoT:6.3	51.6	1536	NA	NA	unk	NA
7M-F7	MoMLV	DoT:6.3	1.81	1323	--	NA	NA	NA
7F-G2	FeLV	DoT:6.3	0.00527	11884	--	NA	NA	NA
7F-G6	FeLV	DoT:6.3	96.9	11448	--	NA	NA	NA
7F-G9	FeLV	DoT:6.3	0.065	8746	--	NA	NA	NA
7F-H10	FeLV	DoT:6.3	93.7	25891	+-	NA	0	1.62
7F-A7	FeLV	DoT:6.3	0.02	33874	--	NA	NA	NA
7F-A10	FeLV	DoT:6.3	98.7	36957	++	++	0	3.2
7F-B8	FeLV	DoT:6.3	84.7	16340	-+	NA	0	2.67
7F-B9	FeLV	DoT:6.3	100	45397	++	+-	0	2.25
7F-B11	FeLV	DoT:6.3	95.4	24012	++	++	0	1.52
7F-C1	FeLV	DoT:6.3	99.9	24024	--	NA	NA	NA
7F-C2	FeLV	DoT:6.3	98.2	10063	--	NA	NA	NA
7F-C4	FeLV	DoT:6.3	85.4	3426	--	NA	NA	NA
7F-C5	FeLV	DoT:6.3	0.043	8812	--	NA	NA	NA
7F-C7	FeLV	DoT:6.3	93.6	2546	--	NA	NA	NA
7F-C8	FeLV	DoT:6.3	97.4	13423	--	NA	NA	NA
7F-C11	FeLV	DoT:6.3	0.034	8134	--	NA	NA	NA
7F-D5	FeLV	DoT:6.3	34.1	1191	NA	NA	unk	NA
7F-D7	FeLV	DoT:6.3	94.8	25572	--	NA	NA	NA
7F-D9	FeLV	DoT:6.3	80.8	4730	NA	NA	unk	NA
7F-D10	FeLV	DoT:6.3	0.05	4240	--	NA	NA	NA
7F-E6	FeLV	DoT:6.3	98.4	3117	--	NA	NA	NA
7F-E8	FeLV	DoT:6.3	99.9	24963	++	+-	0	1.08
7F-E11	FeLV	DoT:6.3	0.028	20786	--	NA	NA	NA
7A-A9	ASLV	DoT:6.3	0.3	2655	NA	NA	unk	NA
7A-B4	ASLV	DoT:6.3	0.04	1531	--	NA	NA	NA
7A-B7	ASLV	DoT:6.3	0.02	1406	--	NA	NA	NA
7A-C2	ASLV	DoT:6.3	0.022	1639	NA	NA	unk	NA
7A-C4	ASLV	DoT:6.3	0.019	1466	NA	NA	unk	NA
7A-C8	ASLV	DoT:6.3	0.00765	1847	NA	NA	unk	NA
7A-C9	ASLV	DoT:6.3	0.082	3954	NA	NA	unk	NA
7A-D3	ASLV	DoT:6.3	0.00739	1393	NA	NA	unk	NA
7A-D10	ASLV	DoT:6.3	0.14	1847	NA	NA	unk	NA
7A-E4	ASLV	DoT:6.3	0.00479	1517	NA	NA	unk	NA
7A-F4	ASLV	DoT:6.3	0.01	1651	--	NA	NA	NA
7A-F6	ASLV	DoT:6.3	0.099	1597	NA	NA	unk	NA
7A-F8	ASLV	DoT:6.3	0.00248	1574	NA	NA	unk	NA
7A-F9	ASLV	DoT:6.3	0.044	1692	NA	NA	unk	NA
7A-G8	ASLV	DoT:6.3	0.027	1471	--	NA	NA	NA
7A-B2	ASLV	DoT:6.3	0.24	1651	NA	NA	unk	NA
7A-B5	ASLV	DoT:6.3	0.16	1782	NA	NA	unk	NA
7A-C10	ASLV	DoT:6.3	0.013	1447	NA	NA	unk	NA
7A-C11	ASLV	DoT:6.3	0.062	1630	--	NA	NA	NA
7A-D4	ASLV	DoT:6.3	0.083	1627	--	NA	NA	NA
7A-D5	ASLV	DoT:6.3	0.038	1554	--	NA	NA	NA
7A-D7	ASLV	DoT:6.3	0.015	1495	NA	NA	unk	NA
7A-D11	ASLV	DoT:6.3	0.00264	1468	--	NA	NA	NA
7A-E3	ASLV	DoT:6.3	0.48	1597	--	NA	NA	NA
7A-E5	ASLV	DoT:6.3	0.043	1922	NA	NA	unk	NA
7A-E6	ASLV	DoT:6.3	0.012	1577	--	NA	NA	NA
7A-E7	ASLV	DoT:6.3	0.03	1670	--	NA	NA	NA
7A-E10	ASLV	DoT:6.3	0.053	1786	+-	NA	0	1.01
7A-F2	ASLV	DoT:6.3	0	0	--	NA	NA	NA
7A-F3	ASLV	DoT:6.3	0.019	1615	--	NA	NA	NA
7A-F7	ASLV	DoT:6.3	0.059	1517	NA	NA	unk	NA
7A-F10	ASLV	DoT:6.3	0.035	1534	NA	NA	unk	NA
7A-G3	ASLV	DoT:6.3	0.021	1565	NA	NA	unk	NA
7A-G4	ASLV	DoT:6.3	0.00549	1439	NA	NA	unk	NA
7A-G5	ASLV	DoT:6.3	0.06	1667	NA	NA	unk	NA
7A-G6	ASLV	DoT:6.3	0.028	1588	--	NA	NA	NA
7A-A11	ASLV	DoT:6.3	0.1	1621	--	NA	NA	NA
7A-B1	ASLV	DoT:6.3	0.22	1648	NA	NA	unk	NA
7A-B11	ASLV	DoT:6.3	0.037	1698	NA	NA	unk	NA
7A-C3	ASLV	DoT:6.3	0.022	1562	NA	NA	unk	NA
7A-E8	ASLV	DoT:6.3	0.027	2177	NA	NA	unk	NA
7A-F12	ASLV	DoT:6.3	0.029	1676	NA	NA	unk	NA
7A-G2	ASLV	DoT:6.3	0.039	1854	NA	NA	unk	NA
7A-G10	ASLV	DoT:6.3	0.01	1636	NA	NA	unk	NA
7A-H3	ASLV	DoT:6.3	0.022	1762	NA	NA	unk	NA
11F-A2	FeLV	DoT:7.3	98	8838	NA	NA	unk	NA
11F-A7	FeLV	DoT:7.3	0.2	8583	NA	NA	unk	NA
11F-A8	FeLV	DoT:7.3	79.5	7677	NA	NA	unk	NA
11F-A9	FeLV	DoT:7.3	99.9	18573	NA	NA	unk	NA
11F-A10	FeLV	DoT:7.3	96.5	6412	NA	NA	unk	NA
11F-A11	FeLV	DoT:7.3	99.8	21662	NA	NA	unk	NA
11F-B2	FeLV	DoT:7.3	95.6	7800	NA	NA	unk	NA
11F-B5	FeLV	DoT:7.3	99.9	15717	NA	NA	unk	NA
11F-B6	FeLV	DoT:7.3	74	19977	NA	NA	unk	NA
11F-B9	FeLV	DoT:7.3	99.9	19550	NA	NA	unk	NA
11F-B10	FeLV	DoT:7.3	100	15177	NA	NA	unk	NA
11F-B11	FeLV	DoT:7.3	100	21085	NA	NA	unk	NA
11F-A6	FeLV	DoT:7.3	100	31641	NA	NA	unk	NA
11F-B12	FeLV	DoT:7.3	95.4	8838	NA	NA	unk	NA
11F-B3	FeLV	DoT:7.3	99.7	17599	++	++	1	1.2
11F-C6	FeLV	DoT:7.3	98.9	4715	NA	NA	unk	NA
11F-C2	FeLV	DoT:7.3	100	15218	-+	NA	NA	NA
11F-C9	FeLV	DoT:7.3	77.6	9053	--	NA	NA	NA
11F-C3	FeLV	DoT:7.3	98.5	10372	NA	NA	unk	NA
11F-C11	FeLV	DoT:7.3	82.5	7358	NA	NA	unk	NA
11F-C4	FeLV	DoT:7.3	99.8	13198	NA	NA	unk	NA
11F-C12	FeLV	DoT:7.3	80.1	5606	NA	NA	unk	NA
11F-D8	FeLV	DoT:7.3	100	20634	NA	NA	unk	NA
11F-D1	FeLV	DoT:7.3	18.4	4969	NA	NA	unk	NA
11F-E9	FeLV	DoT:7.3	100	19550	NA	NA	unk	NA
11F-D2	FeLV	DoT:7.3	81.8	8745	NA	NA	unk	NA
11F-F7	FeLV	DoT:7.3	100	44302	++	++	1	2.48
11F-D5	FeLV	DoT:7.3	99.2	8314	NA	NA	unk	NA
11F-F11	FeLV	DoT:7.3	99.9	15055	NA	NA	unk	NA
11F-D7	FeLV	DoT:7.3	99.7	8492	NA	NA	unk	NA
11F-G4	FeLV	DoT:7.3	38.3	1418	NA	NA	unk	NA
11F-D11	FeLV	DoT:7.3	0.23	8160	NA	NA	unk	NA
11F-G9	FeLV	DoT:7.3	99.5	21897	NA	NA	unk	NA
11F-D12	FeLV	DoT:7.3	93.7	10262	NA	NA	unk	NA
11F-G10	FeLV	DoT:7.3	99.9	26105	++	++	2	1.18
11F-E1	FeLV	DoT:7.3	99.9	12953	NA	NA	unk	NA
11F-E2	FeLV	DoT:7.3	100	18674	NA	NA	unk	NA
11F-E3	FeLV	DoT:7.3	95.9	11636	NA	NA	unk	NA
11F-E4	FeLV	DoT:7.3	100	14077	NA	NA	unk	NA
11F-E6	FeLV	DoT:7.3	95.2	10625	++	++	2	1.82
11F-E7	FeLV	DoT:7.3	99.9	17177	NA	NA	unk	NA
11F-E10	FeLV	DoT:7.3	97.3	18079	NA	NA	unk	NA
11F-E11	FeLV	DoT:7.3	100	20523	NA	NA	unk	NA
11F-F2	FeLV	DoT:7.3	100	26894	++	++	2	2.79
11F-F3	FeLV	DoT:7.3	100	19869	NA	NA	unk	NA
11F-F4	FeLV	DoT:7.3	89.2	14894	NA	NA	unk	NA
11F-F5	FeLV	DoT:7.3	58	1949	NA	NA	unk	NA
11F-F6	FeLV	DoT:7.3	99.7	10710	NA	NA	unk	NA
11F-F8	FeLV	DoT:7.3	0.036	1101	NA	NA	unk	NA
11F-F10	FeLV	DoT:7.3	100	30216	NA	NA	unk	NA
11F-H4	FeLV	DoT:7.3	86.1	6067	NA	NA	unk	NA
11F-H5	FeLV	DoT:7.3	99.9	24663	+-	NA	NA	NA
11F-H7	FeLV	DoT:7.3	100	17837	NA	NA	unk	NA
11F-H8	FeLV	DoT:7.3	100	17982	NA	NA	unk	NA
11F-H9	FeLV	DoT:7.3	54.6	4075	NA	NA	unk	NA
11F-H11	FeLV	DoT:7.3	99.9	20193	NA	NA	unk	NA
11F-G2	FeLV	DoT:7.3	91.3	8629	+-	NA	NA	NA
11F-G3	FeLV	DoT:7.3	1.76	1047	NA	NA	unk	NA
11F-G6	FeLV	DoT:7.3	99.5	5801	NA	NA	unk	NA
11F-G8	FeLV	DoT:7.3	100	19869	NA	NA	unk	NA
11M-B12	MoMLV	DoT:7.3	99.4	15549	++	++	1	2.68
11M-D6	MoMLV	DoT:7.3	97.7	16586	NA	NA	unk	NA
11M-E2	MoMLV	DoT:7.3	96.3	15095	NA	NA	unk	NA
11M-E3	MoMLV	DoT:7.3	97.9	21721	--	NA	NA	NA
11M-F4	MoMLV	DoT:7.3	98.6	18473	NA	NA	unk	NA
11M-A2	MoMLV	DoT:7.3	24.1	1804	NA	NA	unk	NA
11M-A3	MoMLV	DoT:7.3	99	13704	NA	NA	unk	NA
11M-A4	MoMLV	DoT:7.3	99.6	18927	NA	NA	unk	NA
11M-A5	MoMLV	DoT:7.3	44.8	1478	NA	NA	unk	NA
11M-A6	MoMLV	DoT:7.3	52.3	4904	++	++	3	4.22
11M-A7	MoMLV	DoT:7.3	52.1	22135	++	++	2	0.58
11M-F9	MoMLV	DoT:7.3	14.4	2585	NA	NA	unk	NA
11M-G7	MoMLV	DoT:7.3	99.5	30962	++	++	1	3.38
11M-H1	MoMLV	DoT:7.3	78	5636	+-	NA	NA	NA
11M-H6	MoMLV	DoT:7.3	99.9	18523	NA	NA	unk	NA
11M-A9	MoMLV	DoT:7.3	75.9	16364	NA	NA	unk	NA
11M-A10	MoMLV	DoT:7.3	5.1	989	NA	NA	unk	NA
11M-A11	MoMLV	DoT:7.3	96.7	6035	NA	NA	unk	NA
11M-B1	MoMLV	DoT:7.3	95.7	17410	NA	NA	unk	NA
11M-B8	MoMLV	DoT:7.3	99.9	23683	NA	NA	unk	NA
11M-B9	MoMLV	DoT:7.3	99.5	16766	NA	NA	unk	NA
11M-B10	MoMLV	DoT:7.3	90	12016	NA	NA	unk	NA
11M-B11	MoMLV	DoT:7.3	100	14774	NA	NA	unk	NA
11M-C1	MoMLV	DoT:7.3	98.4	14616	NA	NA	unk	NA
11M-C2	MoMLV	DoT:7.3	98.9	17599	NA	NA	unk	NA
11M-C11	MoMLV	DoT:7.3	99.6	22989	NA	NA	unk	NA
11M-D3	MoMLV	DoT:7.3	98.2	17837	NA	NA	unk	NA
11M-D5	MoMLV	DoT:7.3	95.2	9272	++	++	1	1
11M-D9	MoMLV	DoT:7.3	99.6	21604	NA	NA	unk	NA
11M-D12	MoMLV	DoT:7.3	96.8	15177	+-	NA	NA	NA
11M-E4	MoMLV	DoT:7.3	31.6	11119	-+	NA	NA	NA
11M-E5	MoMLV	DoT:7.3	98.8	17039	NA	NA	unk	NA
11M-E8	MoMLV	DoT:7.3	98.7	5636	NA	NA	unk	NA
11M-E11	MoMLV	DoT:7.3	10.6	3909	NA	NA	unk	NA
11M-E12	MoMLV	DoT:7.3	1.1	852	NA	NA	unk	NA
11M-F1	MoMLV	DoT:7.3	99.2	14538	NA	NA	unk	NA
11M-F10	MoMLV	DoT:7.3	8.29	1138	NA	NA	unk	NA
11M-F11	MoMLV	DoT:7.3	72.7	9574	NA	NA	unk	NA
11M-G2	MoMLV	DoT:7.3	66.9	3692	NA	NA	unk	NA
11M-G4	MoMLV	DoT:7.3	56.3	15177	NA	NA	unk	NA
11M-G5	MoMLV	DoT:7.3	99.8	25546	NA	NA	unk	NA
11M-G6	MoMLV	DoT:7.3	99.9	27933	NA	NA	unk	NA
11M-G10	MoMLV	DoT:7.3	99.1	9807	NA	NA	unk	NA
11M-G11	MoMLV	DoT:7.3	99.8	21897	NA	NA	unk	NA
11M-G12	MoMLV	DoT:7.3	99.8	19977	NA	NA	unk	NA
11M-H3	MoMLV	DoT:7.3	11.2	19340	NA	NA	unk	NA
11K-H8	KoRV	DoT:7.3	0.058	770	NA	NA	unk	NA
11K-E4	KoRV	DoT:7.3	0.17	749	NA	NA	unk	NA
11K-G6	KoRV	DoT:7.3	95.8	1283	NA	NA	unk	NA
11K-A8	KoRV	DoT:7.3	0.048	13557	--	NA	NA	NA
11K-B6	KoRV	DoT:7.3	0	0	NA	NA	unk	NA
11K-C1	KoRV	DoT:7.3	0.00352	725	NA	NA	unk	NA
11K-C8	KoRV	DoT:7.3	0.00181	6429	NA	NA	unk	NA
11K-C10	KoRV	DoT:7.3	0.00381	8204	--	NA	NA	NA
11K-D10	KoRV	DoT:7.3	0.00987	1067	NA	NA	unk	NA
11K-E7	KoRV	DoT:7.3	0.017	740	NA	NA	unk	NA
11K-E8	KoRV	DoT:7.3	3.21	687	+-	NA	NA	NA
11K-F6	KoRV	DoT:7.3	0.018	802	NA	NA	unk	NA
11K-F8	KoRV	DoT:7.3	99.9	7536	++	++	0	7.43
11K-F10	KoRV	DoT:7.3	99.3	1954	++	++	1	1.03
11K-G4	KoRV	DoT:7.3	0.074	1859	--	NA	NA	NA
11K-B8	KoRV	DoT:7.3	71.1	2552	-+	-+	NA	NA
11K-C6	KoRV	DoT:7.3	0.023	2451	--	NA	NA	NA
11K-F5	KoRV	DoT:7.3	0.037	623	--	NA	NA	NA
11K-G3	KoRV	DoT:7.3	99.6	3204	++	++	2	1.62
11K-G5	KoRV	DoT:7.3	0.076	2819	NA	NA	unk	NA
11K-D1	KoRV	DoT:7.3	58.4	1418	++	++	1	2.77
11K-D4	KoRV	DoT:7.3	99.2	1598	++	++	1	1.1
11K-D7	KoRV	DoT:7.3	94.7	4995	++	++	1	1.73
11K-E10	KoRV	DoT:7.3	0.04	3543	NA	NA	unk	NA
11K-G2	KoRV	DoT:7.3	0.00195	2237	--	NA	NA	NA
11A-B4	ASLV	DoT:7.3	0.038	1551	NA	NA	unk	NA
11A-C4	ASLV	DoT:7.3	0.11	1717	--	NA	NA	NA
11A-C9	ASLV	DoT:7.3	0.017	1759	--	NA	NA	NA
11A-C11	ASLV	DoT:7.3	0.01	1437	--	NA	NA	NA
11A-D4	ASLV	DoT:7.3	0.011	1633	--	NA	NA	NA
11A-E4	ASLV	DoT:7.3	0.013	1523	--	NA	NA	NA
11A-E5	ASLV	DoT:7.3	0.00244	1434	--	NA	NA	NA
11A-F8	ASLV	DoT:7.3	0.00272	1442	--	NA	NA	NA
11A-F10	ASLV	DoT:7.3	0.025	1580	--	NA	NA	NA
11A-G6	ASLV	DoT:7.3	0.02	1471	--	NA	NA	NA
11A-A3	ASLV	DoT:7.3	0.039	1571	NA	NA	unk	NA
11A-B1	ASLV	DoT:7.3	0.12	1695	NA	NA	unk	NA
11A-B10	ASLV	DoT:7.3	0.076	1676	--	NA	NA	NA
11A-C2	ASLV	DoT:7.3	0.018	1796	--	NA	NA	NA
11A-C6	ASLV	DoT:7.3	0.099	1594	NA	NA	unk	NA
11A-D2	ASLV	DoT:7.3	0.055	1565	--	NA	NA	NA
11A-D5	ASLV	DoT:7.3	0.034	1482	--	NA	NA	NA
11A-D8	ASLV	DoT:7.3	0.073	1523	NA	NA	unk	NA
11A-E3	ASLV	DoT:7.3	0.11	1639	NA	NA	unk	NA
11A-E10	ASLV	DoT:7.3	0.17	2566	NA	NA	unk	NA
11A-F4	ASLV	DoT:7.3	0.02	1493	--	NA	NA	NA
11A-F9	ASLV	DoT:7.3	0.016	1840	--	NA	NA	NA
11A-G7	ASLV	DoT:7.3	0.025	1603	--	NA	NA	NA
11A-H5	ASLV	DoT:7.3	0.22	2735	NA	NA	unk	NA
20M1-B8	MoMLV	IFT20	99.9	115785	NA	NA	unk	NA
20M1-C1	MoMLV	IFT20	99.9	131471	--	NA	NA	NA
20M1-C4	MoMLV	IFT20	45.4	36678	++	++	1	1.56
20M1-D8	MoMLV	IFT20	99.9	193500	++	++	1	2.69
20M1-D9	MoMLV	IFT20	99.9	68717	--	NA	NA	NA
20M1-E5	MoMLV	IFT20	100	132084	++	++	1	2.03
20F1-B3	FeLV	IFT20	100	205026	NA	NA	unk	NA
20F1-C6	FeLV	IFT20	99.9	53177	NA	NA	unk	NA
20F1-D4	FeLV	IFT20	99.9	48943	NA	NA	unk	NA
20F1-E7	FeLV	IFT20	100	97432	NA	NA	unk	NA
20F1-E8	FeLV	IFT20	100	104309	NA	NA	unk	NA
20F1-F3	FeLV	IFT20	100	120281	NA	NA	unk	NA
20M1-E12	MoMLV	IFT20	99.9	92932	NA	NA	unk	NA
20M1-G8	MoMLV	IFT20	96.6	66022	NA	NA	unk	NA
20M2-B5	MoMLV	IFT20	5.82	19341	NA	NA	unk	NA
20M2-B6	MoMLV	IFT20	95.6	88367	++	++	1	2.12
20M1-A1	MoMLV	IFT20	99.9	118096	NA	NA	unk	NA
20M1-A2	MoMLV	IFT20	99.9	79024	++	++	1	5.28
20F1-F4	FeLV	IFT20	66.1	90673	NA	NA	unk	NA
20F2-C3	FeLV	IFT20	100	104286	++	++	1	1.16
20F2-C8	FeLV	IFT20	99.9	96401	++	++	0	2.93
20F2-C9	FeLV	IFT20	100	166745	NA	NA	unk	NA
20F2-C10	FeLV	IFT20	99.9	94532	NA	NA	unk	NA
20F2-E3	FeLV	IFT20	100	103460	NA	NA	unk	NA
20M1-A5	MoMLV	IFT20	99.1	84348	NA	NA	unk	NA
20M1-A6	MoMLV	IFT20	8.63	24530	++	++	2	2.28
20M1-B1	MoMLV	IFT20	99.9	131022	NA	NA	unk	NA
20M1-B4	MoMLV	IFT20	80.3	41143	NA	NA	unk	NA
20M1-C6	MoMLV	IFT20	32.7	45929	++	++	0	1.19
20M1-D1	MoMLV	IFT20	99.9	131947	NA	NA	unk	NA
20F2-F2	FeLV	IFT20	99.9	45684	+-	NA	NA	NA
20F1-A6	FeLV	IFT20	100	170325	++	++	0	3.97
20F1-B4	FeLV	IFT20	100	138641	NA	NA	unk	NA
20F1-C11	FeLV	IFT20	99.9	74973	NA	NA	unk	NA
20F1-D9	FeLV	IFT20	100	204805	NA	NA	unk	NA
20F1-E5	FeLV	IFT20	100	129188	NA	NA	unk	NA
20M1-E10	MoMLV	IFT20	100	206537	NA	NA	unk	NA
20M1-G2	MoMLV	IFT20	43.5	76575	++	++	1	1.64
20M1-G10	MoMLV	IFT20	99.9	125506	NA	NA	unk	NA
20M1-G11	MoMLV	IFT20	96.5	86236	NA	NA	unk	NA
20M1-H5	MoMLV	IFT20	99.8	114636	NA	NA	unk	NA
20M2-B8	MoMLV	IFT20	99.8	60711	+-	NA	NA	NA
20F1-E9	FeLV	IFT20	100	113727	++	++	1	1.23
20F1-G12	FeLV	IFT20	100	214714	++	++	0	12.92
20F1-H5	FeLV	IFT20	100	110709	-+	NA	NA	NA
20F1-H8	FeLV	IFT20	100	162487	NA	NA	unk	NA
20F2-A1	FeLV	IFT20	99.9	113309	++	++	1	1.17
20F2-B4	FeLV	IFT20	100	136967	++	++	1	1.05
20K1-C3	KoRV	IFT20	100	56074	++	++	1	5.46
20K1-C10	KoRV	IFT20	100	109005	++	++	2	8.41
20K1-E4	KoRV	IFT20	99.9	34395	++	++	1	3.24
20K1-E8	KoRV	IFT20	99.9	45027	++	++	0	11.23
20K1-F8	KoRV	IFT20	100	112927	NA	NA	unk	NA
20K2-A9	KoRV	IFT20	99.9	47379	NA	NA	unk	NA
20M2-D2	MoMLV	IFT20	100	115625	NA	NA	unk	NA
20M2-D6	MoMLV	IFT20	99.9	121735	NA	NA	unk	NA
20M2-D9	MoMLV	IFT20	100	118228	NA	NA	unk	NA
20M2-E2	MoMLV	IFT20	100	92826	NA	NA	unk	NA
20M2-E11	MoMLV	IFT20	99.8	67332	NA	NA	unk	NA
20M2-H5	MoMLV	IFT20	100	193005	NA	NA	unk	NA
20K2-B3	KoRV	IFT20	99.8	39001	++	++	1	2.1
20K2-C2	KoRV	IFT20	99.9	50637	++	++	1	3.85
20K2-C3	KoRV	IFT20	99.9	28687	++	-+	1	4.99
20K2-C5	KoRV	IFT20	99.9	35855	++	++	1	4.04
20K2-D6	KoRV	IFT20	99.8	26125	NA	NA	unk	NA
20K2-D8	KoRV	IFT20	99.9	49046	++	++	0	4.34
20K2-B2	KoRV	IFT20	99.9	78890	-+	NA	NA	NA
20K2-B7	KoRV	IFT20	99.9	80042	++	++	1	5.17
20K2-D3	KoRV	IFT20	99.9	77525	++	++	0	4.35
